Entry	Entry name	Organism	Organism ID
R6GWU8	R6GWU8_9FIRM	Firmicutes bacterium CAG:582	1262997
A0A239AWQ3	A0A239AWQ3_9ACTN	Streptomyces glauciniger	235986
A0A160JDS5	A0A160JDS5_9PROT	Azospirillum humicireducens	1226968
R9BA46	R9BA46_9GAMM	Acinetobacter tandoii DSM 14970 = CIP 107469	1120927
A0A1G7UBL9	A0A1G7UBL9_9BACT	Prevotella sp. BP1-148	645274
J2T458	J2T458_9BURK	Variovorax sp. CF313	1144315
A0A2X3HN87	A0A2X3HN87_9LIST	Listeria fleischmannii subsp. fleischmannii	1671902
A0A221DW24	A0A221DW24_SERMA	Serratia marcescens	615
L7WC41	L7WC41_NONDD	Nonlabens dokdonensis (strain DSM 17205 / KCTC 12402 / DSW-6) (Donghaeana dokdonensis)	592029
A5MAU5	A5MAU5_STREE	Streptococcus pneumoniae SP14-BS69	406560
A0A0F0KW79	A0A0F0KW79_9MICO	Microbacterium azadirachtae	582680
H1RLU1	H1RLU1_COMTE	Comamonas testosteroni ATCC 11996	1009852
A0A0J1ICL9	A0A0J1ICL9_9BACI	Bacillus altitudinis	293387
A0A1Q5EBC7	A0A1Q5EBC7_9ACTN	Kitasatospora sp. CB01950	1703930
A0A2T7KWU0	A0A2T7KWU0_9ACTN	Streptomyces sp. CS131	2162711
A0A0P0Q7N0	A0A0P0Q7N0_SERMA	Serratia marcescens	615
A0A0P0CC99	A0A0P0CC99_9BACT	Rufibacter tibetensis	512763
A0A1F7A7L0	A0A1F7A7L0_9BACT	Candidatus Pacebacteria bacterium RIFOXYB1_FULL_44_10	1801890
A0A1S2IWM3	A0A1S2IWM3_9MICO	Curtobacterium sp. MMLR14_010	1898743
K2ND35	K2ND35_9BACI	Bacillus xiamenensis	1178537
A0A1M5HVD8	A0A1M5HVD8_9FLAO	Salegentibacter echinorum	1073325
A0A0F0LDZ6	A0A0F0LDZ6_9MICO	Microbacterium azadirachtae	582680
A0A167HE10	A0A167HE10_9ENTR	Enterobacter cloacae complex sp. GN04787	1820019
A0A1G5A680	A0A1G5A680_9BURK	Variovorax sp. EL159	1566270
V6MF43	V6MF43_PROHU	Proteus hauseri ZMd44	1312367
A0A2K9I2H9	A0A2K9I2H9_LACPE	Lactobacillus pentosus	1589
A0A1Y4JED8	A0A1Y4JED8_9BACE	Bacteroides sp. An19	1965580
A0A2U3NUS8	A0A2U3NUS8_9MYCO	Mycobacterium sp. AB57	1841860
A0A2S4HK45	A0A2S4HK45_9GAMM	Zhongshania sp. ZX-21	2067667
A0A2P8VFI6	A0A2P8VFI6_9ENTR	Siccibacter turicensis	357233
A0A165NVV4	A0A165NVV4_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
A0A228H4S2	A0A228H4S2_9BURK	Burkholderia sp. AU15512	2015345
S4AZT1	S4AZT1_ENTCA	Enterococcus casseliflavus 14-MB-W-14	1259825
H1D4B1	H1D4B1_9FUSO	Fusobacterium necrophorum subsp. funduliforme 1_1_36S	742814
A0A2N3BT23	A0A2N3BT23_9PROT	Alphaproteobacteria bacterium HGW-Alphaproteobacteria-6	2013669
A0A150HMW0	A0A150HMW0_9GAMM	Acinetobacter venetianus	52133
H0TQY5	H0TQY5_9BRAD	Bradyrhizobium sp. STM 3843	551947
A0A1G0QXX1	A0A1G0QXX1_9PROT	Hydrogenophilales bacterium RIFOXYA1_FULL_63_33	1798414
A0A2N6A9Z0	A0A2N6A9Z0_9BACT	Candidatus Parcubacteria bacterium	2053309
A0A2A3CQF8	A0A2A3CQF8_9RHIZ	Mesorhizobium sp. WSM3864	2029404
W9EL86	W9EL86_9LACO	Lactobacillus florum 8D	1221538
A0A0G1FSW0	A0A0G1FSW0_9BACT	Candidatus Nomurabacteria bacterium GW2011_GWF2_43_8	1618779
A0A1H1SUG4	A0A1H1SUG4_9FLAO	Gillisia sp. Hel1_33_143	1336796
A0A1F6NG49	A0A1F6NG49_9BACT	Candidatus Magasanikbacteria bacterium RIFOXYB1_FULL_40_15	1798697
A0A0P7DF24	A0A0P7DF24_9GAMM	Cobetia sp. UCD-24C	1716176
A0A2D3PK93	A0A2D3PK93_9FUSO	Fusobacterium periodonticum	860
A0A0Q4IAM2	A0A0Q4IAM2_9SPHN	Sphingomonas sp. Leaf226	1735691
A0A0P9RKQ3	A0A0P9RKQ3_PSESX	Pseudomonas syringae pv. daphniphylli	264455
A0A2D3PTY6	A0A2D3PTY6_9FUSO	Fusobacterium periodonticum	860
S5Z3X6	S5Z3X6_BACPJ	Bacillus sp. (strain JF8)	1921421
J1A4I6	J1A4I6_BAREL	Bartonella elizabethae F9251 = ATCC 49927	1094555
A0A1Y2QPU8	A0A1Y2QPU8_9SPHN	Sphingomonas sp. IBVSS2	1985172
B2UQG9	B2UQG9_AKKM8	Akkermansia muciniphila (strain ATCC BAA-835 / Muc)	349741
D0WJR5	D0WJR5_9ACTO	Actinomyces sp. oral taxon 848 str. F0332	649743
A0A1I6SLJ7	A0A1I6SLJ7_9PORP	Porphyromonadaceae bacterium NLAE-zl-C104	1855399
E8W2Q9	E8W2Q9_STRFA	Streptomyces pratensis (strain ATCC 33331 / IAF-45CD)	591167
A0A0J5PAY3	A0A0J5PAY3_9LACT	Fructobacillus sp. EFB-N1	1658766
A0A0Q6FZ17	A0A0Q6FZ17_9MICO	Sanguibacter sp. Leaf3	1736209
A0A1G5CVD8	A0A1G5CVD8_9FIRM	Lachnospiraceae bacterium XBB2008	1520826
A0A1Y3S8X3	A0A1Y3S8X3_9FIRM	Pseudoflavonifractor sp. An85	1965661
A0A2N8T3E1	A0A2N8T3E1_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
A0A081MHM6	A0A081MHM6_9RHIZ	Pseudorhizobium pelagicum	1509405
A0A067LPR3	A0A067LPR3_9MICO	Clavibacter cf. michiganensis LMG 26808	1291006
A0A0C2MZ90	A0A0C2MZ90_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
A0A1Q9QGJ3	A0A1Q9QGJ3_RHOSU	Rhodovulum sulfidophilum (Rhodobacter sulfidophilus)	35806
A0A2N8LDD3	A0A2N8LDD3_9STRE	Streptococcus penaeicida	1765960
J8VD94	J8VD94_9FUSO	Fusobacterium hwasookii ChDC F128	1216362
A0A0R1P1F5	A0A0R1P1F5_9LACO	Lactobacillus gallinarum DSM 10532 = JCM 2011	1423748
A0A2N6A4X5	A0A2N6A4X5_9BACT	Candidatus Parcubacteria bacterium	2053309
B3CFC2	B3CFC2_9BACE	Bacteroides intestinalis DSM 17393	471870
E3CLD4	E3CLD4_STRDO	Streptococcus downei F0415	904293
K7RUZ5	K7RUZ5_ACIA4	Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070) (Propionibacterium acidipropionici)	1171373
A0A150HQ01	A0A150HQ01_9GAMM	Acinetobacter venetianus	52133
A0A2K0XRL4	A0A2K0XRL4_9GAMM	Moraxella sp. RCAD0137	1775913
A0A1G8UL64	A0A1G8UL64_9RHIZ	Rhizobium sp. PDC82	1881064
A0A2N8LA55	A0A2N8LA55_9STRE	Streptococcus penaeicida	1765960
A0A0G3ESJ2	A0A0G3ESJ2_9BURK	Pandoraea thiooxydans	445709
A0A0Q7VWW7	A0A0Q7VWW7_9BURK	Duganella sp. Root1480D1	1736471
J9RBL5	J9RBL5_RIEAN	Riemerella anatipestifer RA-CH-1	1228997
T0HDA0	T0HDA0_9SPHN	Sphingobium lactosutens DS20	1331060
A0A0H5SFU0	A0A0H5SFU0_HERHM	Herbinix hemicellulosilytica	1564487
I8R6Q0	I8R6Q0_LACPE	Lactobacillus pentosus KCA1	1136177
A0A2P7TB92	A0A2P7TB92_9SPHI	Sphingobacteriales bacterium UPWRP_1	2116516
A0A1A3QFF8	A0A1A3QFF8_9MYCO	Mycobacterium sp. 1081908.1	1834066
A0A167AP70	A0A167AP70_9BACL	Paenibacillus crassostreae	1763538
A0A1P8S2F9	A0A1P8S2F9_9RHIZ	Brucella sp. 09RB8910	1844051
J8GZR9	J8GZR9_BACCE	Bacillus cereus VD014	1053223
A0A1M4Z428	A0A1M4Z428_9LACT	Atopostipes suicloacalis DSM 15692	1121025
A0A2G9EJU6	A0A2G9EJU6_9FUSO	Fusobacterium periodonticum	860
F2B9B0	F2B9B0_9NEIS	Neisseria bacilliformis ATCC BAA-1200	888742
A0A2P7TN15	A0A2P7TN15_9SPHI	Sphingobacteriales bacterium UPWRP_1	2116516
H1Q3Y4	H1Q3Y4_9BACT	Prevotella micans F0438	883158
A0A0M0WTR3	A0A0M0WTR3_9BACI	Bacillus sp. FJAT-21351	1581029
M1PE87	M1PE87_DESSD	Desulfocapsa sulfexigens (strain DSM 10523 / SB164P1)	1167006
A0A285NBK7	A0A285NBK7_9RHIZ	Cohaesibacter gelatinilyticus	372072
A0A1F8MSN6	A0A1F8MSN6_9CHLR	Chloroflexi bacterium RBG_13_53_26	1797629
A0A1B6Z6M2	A0A1B6Z6M2_9SPHN	Sphingomonadales bacterium EhC05	1849171
A0A1Q3LML1	A0A1Q3LML1_9BACT	Bacteroidales bacterium 45-6	1895719
M2TPR2	M2TPR2_PSEST	Pseudomonas stutzeri NF13	1212548
A0A1N7LVP5	A0A1N7LVP5_9FLAO	Chryseobacterium chaponense	713588
A0A2N9DTD0	A0A2N9DTD0_9LACO	Lactobacillus fuchuensis	164393
A0A2D3LYH4	A0A2D3LYH4_9FUSO	Fusobacterium periodonticum	860
A0A2T7KN66	A0A2T7KN66_9ACTN	Streptomyces sp. CS131	2162711
A0A2N5ZRE8	A0A2N5ZRE8_9BACT	Candidatus Parcubacteria bacterium	2053309
A0A090U5Y1	A0A090U5Y1_9ENTR	Citrobacter werkmanii NBRC 105721	1114921
A0A243VG45	A0A243VG45_9CORY	Corynebacterium kefirresidentii	1979527
D2ZWW6	D2ZWW6_NEIMU	Neisseria mucosa ATCC 25996	546266
A0A0Q6MGK3	A0A0Q6MGK3_9RHIZ	Aminobacter sp. Root100	1736420
A0A241WT03	A0A241WT03_9GAMM	Acinetobacter sp. ANC 4654	1977872
A0A0J1LZX4	A0A0J1LZX4_9ENTR	Citrobacter sp. MGH105	1686380
D3CX74	D3CX74_9ACTN	Frankia sp. EUN1f	102897
A0A073JTL0	A0A073JTL0_9BACI	Bacillus manliponensis	574376
A0A1I0X787	A0A1I0X787_9CELL	Cellulomonas marina	988821
A0A127AZ68	A0A127AZ68_9BACT	Rufibacter sp. DG15C	1379909
A0A0U5ES80	A0A0U5ES80_9BACT	Candidatus Protochlamydia naegleriophila	389348
A0A1W1VR32	A0A1W1VR32_9BACT	Hymenobacter roseosalivarius DSM 11622	645990
D5H1I2	D5H1I2_LACCS	Lactobacillus crispatus (strain ST1)	748671
A0A1E3S3P2	A0A1E3S3P2_9ACTN	Dietzia alimentaria	665550
A0A2U2J2Q5	A0A2U2J2Q5_9SPHN	Sphingosinicella sp. QZX222	2068657
A0A2K8VII9	A0A2K8VII9_9FLAO	Tenacibaculum sp. SZ-18	754423
J3HTU7	J3HTU7_9RHIZ	Phyllobacterium sp. YR531	1144343
A0A0D8KBS3	A0A0D8KBS3_9RHIZ	Rhizobium nepotum 39/7	1368418
A0A1E3AX20	A0A1E3AX20_9FIRM	Eisenbergiella tayi	1432052
A0A1H1MNA7	A0A1H1MNA7_9FLAO	Gillisia sp. Hel1_33_143	1336796
A0A2E7UEW3	A0A2E7UEW3_9SPHN	Citromicrobium sp.	2024827
A0A2W5Z2I9	A0A2W5Z2I9_9BACT	Chthoniobacterales bacterium	2201154
A0A1M5VUW7	A0A1M5VUW7_9FIRM	Sporobacter termitidis DSM 10068	1123282
A0A2D3NYX0	A0A2D3NYX0_9FUSO	Fusobacterium periodonticum	860
J3HRZ4	J3HRZ4_9BURK	Herbaspirillum sp. YR522	1144342
A0A2G9E1N5	A0A2G9E1N5_9FUSO	Fusobacterium periodonticum	860
A0A2U2APK0	A0A2U2APK0_9GAMM	Ignatzschineria indica	472583
A0A2T3BZT4	A0A2T3BZT4_9ENTR	Enterobacter sp. FS01	2109729
A0A2W5ZTT2	A0A2W5ZTT2_9BACT	Chthoniobacterales bacterium	2201154
A0A2E2NGM2	A0A2E2NGM2_9SPHN	Citromicrobium sp.	2024827
A0A0G3GXS1	A0A0G3GXS1_9CORY	Corynebacterium mustelae	571915
A0A1C3XZ87	A0A1C3XZ87_9RHIZ	Rhizobium aethiopicum	1138170
A0A015VBE4	A0A015VBE4_BACFG	Bacteroides fragilis str. DS-208	1339276
A0A096CLW5	A0A096CLW5_9FIRM	Veillonella montpellierensis DNF00314	1401067
A0A199RMD2	A0A199RMD2_9XANT	Xanthomonas nasturtii	1843581
K0XDJ8	K0XDJ8_9FIRM	Lachnoanaerobaculum sp. OBRC5-5	936595
A0A2R8CPH1	A0A2R8CPH1_9GAMM	Kushneria phyllosphaerae	2100822
A0A158F230	A0A158F230_9BURK	Caballeronia choica	326476
A0A252F815	A0A252F815_9CLOT	Butyricicoccus porcorum	1945634
J0VLV3	J0VLV3_RHILT	Rhizobium leguminosarum bv. trifolii WSM2012	754522
A0A2H0CIB4	A0A2H0CIB4_9BACT	Candidatus Nomurabacteria bacterium CG22_combo_CG10-13_8_21_14_all_32_8	1974732
A0A2S9AHU1	A0A2S9AHU1_9MICO	Microbacterium sp. MYb62	1848690
A0A0C1DMZ0	A0A0C1DMZ0_9MICC	Arthrobacter sp. MWB30	1534409
I4KAU4	I4KAU4_PSEFL	Pseudomonas fluorescens SS101	1038924
A4P0Y9	A4P0Y9_HAEIF	Haemophilus influenzae 22.4-21	375063
A0A101K3Y9	A0A101K3Y9_9BRAD	Bosea sp. WAO	406341
E9YV32	E9YV32_ECOLX	Escherichia coli M863	656420
A0A0J1VFW5	A0A0J1VFW5_9ENTR	Enterobacter sp. BIDMC92	1594172
A0A2N5DV97	A0A2N5DV97_9GAMM	Yersiniaceae bacterium 2015Iso6	2060067
E7T8D8	E7T8D8_SHIFL	Shigella flexneri CDC 796-83	945360
D0TJW2	D0TJW2_9BACE	Bacteroides sp. 2_1_33B	469589
A0A2N6UE47	A0A2N6UE47_9LACT	Aerococcus viridans	1377
A0A0D6NMG9	A0A0D6NMG9_9PROT	Acetobacter orientalis 21F-2	1231341
A0A1E4KQZ6	A0A1E4KQZ6_9PROT	Thiobacillus sp. SCN 63-374	1660149
W8RQE9	W8RQE9_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
L7WDD7	L7WDD7_NONDD	Nonlabens dokdonensis (strain DSM 17205 / KCTC 12402 / DSW-6) (Donghaeana dokdonensis)	592029
A0A1E4L2C6	A0A1E4L2C6_9PROT	Thiobacillus sp. SCN 63-374	1660149
A0A2N8SQY4	A0A2N8SQY4_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
E8W1N0	E8W1N0_STRFA	Streptomyces pratensis (strain ATCC 33331 / IAF-45CD)	591167
A0A0L8J5W2	A0A0L8J5W2_STRVR	Streptomyces viridochromogenes	1938
A0A0E2H600	A0A0E2H600_9FIRM	[Clostridium] clostridioforme 90A8	999408
A0A158M7W2	A0A158M7W2_9BORD	Bordetella holmesii CDC-H585-BH	1331206
A0A1I4MCB3	A0A1I4MCB3_PSESX	Pseudomonas syringae	317
A0A085ULM3	A0A085ULM3_PSESX	Pseudomonas syringae	317
A0A261FB14	A0A261FB14_9BIFI	Aeriscardovia aeriphila	218139
A0A2T0S7D1	A0A2T0S7D1_9ACTN	Pseudosporangium ferrugineum	439699
A0A2D4U4K3	A0A2D4U4K3_9GAMM	Rheinheimera sp.	1869214
A0A2T1N6P1	A0A2T1N6P1_9FLAO	Mesoflavibacter sabulilitoris	1520893
A0A0P8AEC4	A0A0P8AEC4_9RHOB	Rhodobacteraceae bacterium HLUCCO18	1666917
A0A255HYR7	A0A255HYR7_9BURK	Janthinobacterium sp. PC23-8	2012679
A0A0J5H480	A0A0J5H480_SALTM	Salmonella typhimurium	90371
A0A2S6J5L8	A0A2S6J5L8_PSESX	Pseudomonas syringae	317
A0A0V8IW11	A0A0V8IW11_9MICC	Arthrobacter enclensis	993070
A0A1A0RZ41	A0A1A0RZ41_9MYCO	Mycobacterium sp. 852002-51961_SCH5331710	1834105
A0A0Q7VRC4	A0A0Q7VRC4_9MICO	Microbacterium sp. Root553	1736556
A0A172WR06	A0A172WR06_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
A0A0Q7XYG1	A0A0Q7XYG1_9RHIZ	Rhizobium sp. Root149	1736473
A0A0N9HT03	A0A0N9HT03_9PSEU	Kibdelosporangium phytohabitans	860235
A0A2G6YFA4	A0A2G6YFA4_9BURK	Acidovorax sp. 62	2035203
E0TBM1	E0TBM1_PARBH	Parvularcula bermudensis (strain ATCC BAA-594 / HTCC2503 / KCTC 12087)	314260
A0A1E4IZ29	A0A1E4IZ29_9BURK	Variovorax sp. SCN 67-85	1660152
R5PPB6	R5PPB6_9BURK	Sutterella wadsworthensis CAG:135	1263111
A0A244EL43	A0A244EL43_PSESX	Pseudomonas syringae	317
A0A1F1GKF6	A0A1F1GKF6_9CORY	Corynebacterium sp. HMSC078H07	1739379
A0A063UC11	A0A063UC11_BORBO	Bordetella bronchiseptica OSU553	1331242
F3G447	F3G447_PSESJ	Pseudomonas syringae pv. pisi str. 1704B	629263
A0A1V3QBZ9	A0A1V3QBZ9_9GAMM	Rhodanobacter sp. B04	1945860
A0A1N6YZ13	A0A1N6YZ13_9BACL	Paenibacillus macquariensis	948756
A0A0M4CIH8	A0A0M4CIH8_9CORY	Corynebacterium deserti GIMN1.010	931089
A0A1I5I5N6	A0A1I5I5N6_9GAMM	Pantoea sp. OV426	1881036
A0A1H2IG27	A0A1H2IG27_9PSED	Pseudomonas mandelii	75612
K9XXA2	K9XXA2_STAC7	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	111780
A0NYH9	A0NYH9_LABAI	Labrenzia aggregata (strain ATCC 25650 / DSM 13394 / JCM 20685 / NBRC 16684 / NCIMB 2208 / IAM 12614) (Stappia aggregata)	384765
A0A1M5JXY8	A0A1M5JXY8_9BACT	Chryseolinea serpens	947013
A0A0S2P0V9	A0A0S2P0V9_STRHL	Streptomyces hygroscopicus subsp. limoneus	264445
A0A1B8ZXE7	A0A1B8ZXE7_9FLAO	Chryseobacterium artocarpi	1414727
A0A2P6FQT4	A0A2P6FQT4_9ACTO	Actinomycetales bacterium	1911520
A0A0M6Y0I9	A0A0M6Y0I9_9RHOB	Labrenzia aggregata	187304
A0A1Z4MFD4	A0A1Z4MFD4_MICDP	Fremyella diplosiphon NIES-3275	1973485
X6DYW5	X6DYW5_9RHIZ	Mesorhizobium sp. LNHC221B00	1287233
A0A285C3H1	A0A285C3H1_9ACTN	Streptomyces sp. TLI_55	1938861
K5XZF4	K5XZF4_9BACT	Parabacteroides goldsteinii CL02T12C30	999418
A0A290MUZ3	A0A290MUZ3_9FLAO	Elizabethkingia anophelis R26	1246994
A0A0G1A4T9	A0A0G1A4T9_9BACT	Candidatus Magasanikbacteria bacterium GW2011_GWA2_42_32	1619039
A0A2N6V2Y0	A0A2N6V2Y0_9ACTO	Actinomyces graevenitzii	55565
A0A2U2PMS0	A0A2U2PMS0_9SPHI	Pedobacter sp. FJ4-8	2173175
A0A285CF78	A0A285CF78_9ACTN	Streptomyces sp. TLI_55	1938861
H1LKX5	H1LKX5_9LACO	Lactobacillus kisonensis F0435	797516
Q07M66	Q07M66_RHOP5	Rhodopseudomonas palustris (strain BisA53)	316055
S4H3U2	S4H3U2_GARVA	Gardnerella vaginalis JCP7672	1261060
A0A1X6ZUV7	A0A1X6ZUV7_9RHOB	Roseovarius halotolerans	505353
A0A1G9UBE4	A0A1G9UBE4_9BACI	Bacillus sp. OK048	1882761
J3E2N0	J3E2N0_9PSED	Pseudomonas sp. GM84	1144340
A0A0P1FZW7	A0A0P1FZW7_THAGE	Thalassobius gelatinovorus (Ruegeria gelatinovora)	53501
A0A101KWM4	A0A101KWM4_RHILI	Rhizobium loti (Mesorhizobium loti)	381
A0A1I0JVJ7	A0A1I0JVJ7_9BACL	Paenibacillus sp. NFR01	1566279
A0A2G2K893	A0A2G2K893_9FLAO	Kordia sp.	1965332
A0A091CEW9	A0A091CEW9_9ENTE	Tetragenococcus muriaticus 3MR10-3	1302648
A0A0N1MJ22	A0A0N1MJ22_9FLAO	Chryseobacterium sp. ERMR1:04	1705393
J3AGH4	J3AGH4_9PSED	Pseudomonas sp. GM50	1144332
A0A031GND5	A0A031GND5_9BURK	Janthinobacterium lividum	29581
W7DM94	W7DM94_9LIST	Listeria fleischmannii FSL S10-1203	1265822
A0A1C4NWH3	A0A1C4NWH3_9ACTN	Streptomyces sp. IgraMP-1	1839767
A0A0T0MNS9	A0A0T0MNS9_9CELL	Cellulomonas sp. Leaf395	1736362
G7VW58	G7VW58_PAETH	Paenibacillus terrae (strain HPL-003)	985665
D1CVP0	D1CVP0_9RHIZ	Brucella sp. 83/13	520449
A0A291Q9N5	A0A291Q9N5_9ACTN	Streptomyces formicae	1616117
A0A2G1UIJ4	A0A2G1UIJ4_9ALTE	Marinobacter sp. PWS21	2033727
A0A1Q5ZZN8	A0A1Q5ZZN8_9SPHI	Mucilaginibacter polytrichastri	1302689
A0A0R1VJC8	A0A0R1VJC8_9LACO	Lactobacillus ghanensis DSM 18630	1423750
A0A074LIV3	A0A074LIV3_PAEPO	Paenibacillus polymyxa (Bacillus polymyxa)	1406
L8MAQ2	L8MAQ2_9PSED	Pseudomonas furukawaii	1149133
A0A1I7EUP7	A0A1I7EUP7_9FLAO	Pustulibacterium marinum	1224947
A0A0L1JRE7	A0A0L1JRE7_9RHOB	Pseudaestuariivita atlantica	1317121
A0A0Q4KS09	A0A0Q4KS09_9SPHN	Sphingomonas sp. Leaf33	1736215
A0A1Y4ELX2	A0A1Y4ELX2_9FIRM	Anaeromassilibacillus sp. An250	1965604
J8HNX2	J8HNX2_BACCE	Bacillus cereus VD154	1053238
A0A1D8Y7Z7	A0A1D8Y7Z7_9GAMM	Stenotrophomonas sp. LM091	1904944
