Entry	Entry name	Organism	Organism ID
A0A1B9NWD5	A0A1B9NWD5_ALILO	Aliivibrio logei (Vibrio logei)	688
A0A1Q4NU52	A0A1Q4NU52_SERMA	Serratia marcescens	615
A0A1S8F1H5	A0A1S8F1H5_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
F3BQ25	F3BQ25_PSEHA	Pseudoalteromonas haloplanktis ANT/505	722419
M2TQN6	M2TQN6_PSEST	Pseudomonas stutzeri NF13	1212548
A0A0L1LYH3	A0A0L1LYH3_PSESX	Pseudomonas syringae	317
V6MNM6	V6MNM6_PROHU	Proteus hauseri ZMd44	1312367
F2BCZ7	F2BCZ7_9NEIS	Neisseria bacilliformis ATCC BAA-1200	888742
A0A0P9NJJ6	A0A0P9NJJ6_PSESX	Pseudomonas syringae pv. daphniphylli	264455
A0A1M4T0U6	A0A1M4T0U6_VIBGA	Vibrio gazogenes DSM 21264 = NBRC 103151	1123492
U1K921	U1K921_9GAMM	Pseudoalteromonas rubra DSM 6842	1117318
A0A0P7E1A2	A0A0P7E1A2_9GAMM	Cobetia sp. UCD-24C	1716176
A0A2P8VE94	A0A2P8VE94_9ENTR	Siccibacter turicensis	357233
A0A2T3BZS9	A0A2T3BZS9_9ENTR	Enterobacter sp. FS01	2109729
A0A090U3K7	A0A090U3K7_9ENTR	Citrobacter werkmanii NBRC 105721	1114921
A0A0J1PQU3	A0A0J1PQU3_9ENTR	Citrobacter sp. MGH105	1686380
A0A2G1BD06	A0A2G1BD06_9GAMM	Pseudoalteromonas sp. 3D05	2045444
A0A2N5DVB3	A0A2N5DVB3_9GAMM	Yersiniaceae bacterium 2015Iso6	2060067
A0A2I8QZ20	A0A2I8QZ20_9GAMM	Aeromonas sp. ASNIH3	1636608
A0A1U9R5L2	A0A1U9R5L2_9GAMM	Halomonas sp. 'Soap Lake #7'	1962264
K8W616	K8W616_9GAMM	Providencia burhodogranariea DSM 19968	1141662
I4K6C8	I4K6C8_PSEFL	Pseudomonas fluorescens SS101	1038924
A0A1Q6CKR6	A0A1Q6CKR6_9GAMM	Thalassotalea sp. PP2-459	1742724
A0A085VPB9	A0A085VPB9_PSESX	Pseudomonas syringae	317
A0A2U9ASU5	A0A2U9ASU5_SERMA	Serratia marcescens	615
A0A2V1LVV0	A0A2V1LVV0_9VIBR	Vibrio sp. T21	2007197
J3DS50	J3DS50_9PSED	Pseudomonas sp. GM84	1144340
A0A255X0X6	A0A255X0X6_9PSED	Pseudomonas mandelii	75612
A0A0H2MSE2	A0A0H2MSE2_9VIBR	Vibrio sp. VPAP30	1647102
J3GJT0	J3GJT0_9PSED	Pseudomonas sp. GM50	1144332
A0A1H4IFH6	A0A1H4IFH6_PSEPA	Pseudomonas panacis	307251
A0A0W7TWD1	A0A0W7TWD1_9GAMM	Aeromonas schubertii	652
G8PXY8	G8PXY8_PSEFL	Pseudomonas fluorescens F113	1114970
A0A2N1FWZ2	A0A2N1FWZ2_9GAMM	Halomonas sp. Choline-3u-9	2058313
A0A1M5YQ31	A0A1M5YQ31_9GAMM	Pantoea sesami	1881110
A0A1H8IGU5	A0A1H8IGU5_9PSED	Pseudomonas sp. NFACC39-1	1566195
F4DXR3	F4DXR3_PSEMN	Pseudomonas mendocina (strain NK-01)	1001585
F3G4D2	F3G4D2_PSESJ	Pseudomonas syringae pv. pisi str. 1704B	629263
A0A0F5VBW9	A0A0F5VBW9_9GAMM	Photobacterium halotolerans	265726
A0A0A8UKL4	A0A0A8UKL4_ECOLX	Escherichia coli O26:H11	244319
M4WR73	M4WR73_9PSED	Pseudomonas sp. ATCC 13867	1294143
J3FM87	J3FM87_9PSED	Pseudomonas sp. GM24	1144326
Q0HZF4	Q0HZF4_SHESR	Shewanella sp. (strain MR-7)	60481
W2E0N1	W2E0N1_9PSED	Pseudomonas sp. FH1	1284392
A0A0J1YBX5	A0A0J1YBX5_9ENTR	Enterobacter sp. BIDMC92	1594172
Q1I4G4	Q1I4G4_PSEE4	Pseudomonas entomophila (strain L48)	384676
V0ALZ8	V0ALZ8_ECOLX	Escherichia coli 909945-2	1269007
A0A1M6CBJ7	A0A1M6CBJ7_9PSED	Pseudomonas zeshuii	1076620
A0A0C5WEY8	A0A0C5WEY8_9GAMM	Photobacterium gaetbulicola Gung47	658445
A0A2S7X7B1	A0A2S7X7B1_9GAMM	Aliivibrio sifiae	566293
A0A2N1D6T4	A0A2N1D6T4_9ALTE	Paraglaciecola sp. MB-3u-78	2058332
A0A0J8VJU8	A0A0J8VJU8_9ENTR	Franconibacter pulveris	435910
V8K2G2	V8K2G2_ECOLX	Escherichia coli LAU-EC10	1417796
A0A0Q4NLD5	A0A0Q4NLD5_9GAMM	Erwinia sp. Leaf53	1736225
A0A2V4SIB0	A0A2V4SIB0_9PSED	Pseudomonas sp. GV034	2135576
A0A1B1KXH6	A0A1B1KXH6_SERPL	Serratia plymuthica PRI-2C	1154756
U3A5C7	U3A5C7_VIBPR	Vibrio proteolyticus NBRC 13287	1219065
A0A0K9UVB0	A0A0K9UVB0_VIBCL	Vibrio cholerae 2740-80	412614
A0A2V4F0Z6	A0A2V4F0Z6_9PSED	Pseudomonas sp. SMT-1	435519
A0A1F0UJQ2	A0A1F0UJQ2_9PAST	Haemophilus sp. HMSC073C03	1739452
A0A0P9LCS2	A0A0P9LCS2_PSESX	Pseudomonas syringae pv. broussonetiae	129136
A0A1I1QJ27	A0A1I1QJ27_9GAMM	Pseudoalteromonas denitrificans DSM 6059	1123010
A0A0N0X9Q1	A0A0N0X9Q1_PSESX	Pseudomonas syringae pv. cilantro	81035
J2RBV1	J2RBV1_9PSED	Pseudomonas sp. GM48	1144330
A0A2S6FDK6	A0A2S6FDK6_9PSED	Pseudomonas sp. AP3_16	2011015
A0A090NJP6	A0A090NJP6_SHIDY	Shigella dysenteriae WRSd3	1401327
E9YV33	E9YV33_ECOLX	Escherichia coli M863	656420
A4NVK5	A4NVK5_HAEIF	Haemophilus influenzae 22.4-21	375063
D3V6P3	D3V6P3_XENBS	Xenorhabdus bovienii (strain SS-2004)	406818
E6MZF8	E6MZF8_NEIMH	Neisseria meningitidis serogroup B / serotype 15 (strain H44/76)	909420
A0A101LM92	A0A101LM92_9PSED	Pseudomonas sp. EpS/L25	1749078
A0A291K298	A0A291K298_PSEME	Pseudomonas mendocina	300
A0A2U9D2B5	A0A2U9D2B5_9GAMM	Pantoea vagans	470934
A0A2V5C0T5	A0A2V5C0T5_9PSED	Pseudomonas sp. CC120222-01b	1378078
J8VD29	J8VD29_PSEPU	Pseudomonas putida S11	1218169
A0A177Y2R1	A0A177Y2R1_9VIBR	Vibrio bivalvicida	1276888
A0A1T1I6S1	A0A1T1I6S1_9PSED	Pseudomonas sp. MF6396	1960828
A0A2S7X3B0	A0A2S7X3B0_9GAMM	Aliivibrio sifiae	566293
A0A161ZXC9	A0A161ZXC9_9ENTR	Enterobacter cloacae complex sp. GN04787	1820019
A0A0P0Q847	A0A0P0Q847_SERMA	Serratia marcescens	615
A0A2N8RRW4	A0A2N8RRW4_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
C7BR68	C7BR68_PHOAA	Photorhabdus asymbiotica subsp. asymbiotica (strain ATCC 43949 / 3105-77) (Xenorhabdus luminescens (strain 2))	553480
A0A2N8T2H4	A0A2N8T2H4_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
A0A1B7UFM9	A0A1B7UFM9_9GAMM	Rheinheimera sp. SA_1	1827365
A0A2R4J2A7	A0A2R4J2A7_9GAMM	Pantoea vagans	470934
A0A2S8YUK0	A0A2S8YUK0_9PSED	Pseudomonas sp. MYb187	1827299
A0A2K7ZCV9	A0A2K7ZCV9_YEREN	Yersinia enterocolitica LC20	1443113
A0A2L2KXG9	A0A2L2KXG9_9PSED	Pseudomonas monteilii	76759
