None,,arfA,arfA,arfA,mscL,mscL,mscL,arfA,arfA,arfA,mscL,mscL,mscL,common,common
None,,Entry,Entry name,genomic_dna_id,Entry,Entry name,genomic_dna_id,start,end,is_complement,start,end,is_complement,overlap,gen_data_id_sim
Organism,Organism ID,,,,,,,,,,,,,,
Achromobacter sp.,134375,A0A0M7PIF9,A0A0M7PIF9_9BURK,CUK11939.1,A0A0M7PEA3,A0A0M7PEA3_9BURK,CUK11932.1,9523.0,9741.0,True,9116.0,9526.0,False,3,0.9
Pantoea sp. BRM17,1343867,A0A2S6VSI8,A0A2S6VSI8_9GAMM,PPS59019.1,A0A2S6VSM8,A0A2S6VSM8_9GAMM,PPS59018.1,2472243.0,2472461.0,True,2471815.0,2472225.0,False,-18,0.9
Pantoea gaviniae,665914,A0A1X1E400,A0A1X1E400_9GAMM,AUX92037.1,A0A1X1E4B9,A0A1X1E4B9_9GAMM,AUX92038.1,489872.0,490105.0,False,490128.0,490538.0,True,-23,0.9
Pantoea latae,1964541,A0A1V9DR18,A0A1V9DR18_9GAMM,OQP36292.1,A0A1V9DR08,A0A1V9DR08_9GAMM,OQP36291.1,9455.0,9661.0,True,9019.0,9429.0,False,-26,0.9
Pantoea rodasii,1076549,A0A0B1R5Z1,A0A0B1R5Z1_9GAMM,KHJ68034.1,A0A0B1R4Q2,A0A0B1R4Q2_9GAMM,KHJ68033.1,9400.0,9618.0,True,8973.0,9383.0,False,-17,0.9
Pantoea rwandensis,1076550,A0A1X1CL29,A0A1X1CL29_9GAMM,ORM65108.1,A0A1X1CL69,A0A1X1CL69_9GAMM,ORM65107.1,9421.0,9639.0,True,8992.0,9402.0,False,-19,0.9
Pantoea sp. (strain At-9b),592316,E6WGJ1,E6WGJ1_PANSA,ADU70903.1,E6WGJ0,E6WGJ0_PANSA,ADU70902.1,3962785.0,3962985.0,True,3962338.0,3962748.0,False,-37,0.9
Pantoea sp. AS-PWVM4,1332069,U2MV81,U2MV81_9GAMM,ERK05535.1,U2N294,U2N294_9GAMM,ERK05534.1,9496.0,9696.0,True,9048.0,9458.0,False,-38,0.9
Pantoea sp. FDAARGOS_194,1975707,A0A2J9E2Y1,A0A2J9E2Y1_9GAMM,PNK62131.1,A0A2J9E2W3,A0A2J9E2W3_9GAMM,PNK62130.1,172566.0,172766.0,True,172122.0,172532.0,False,-34,0.9
Pantoea sp. YR343,1144341,J3HM66,J3HM66_9GAMM,EJM99527.1,J2V1T5,J2V1T5_9GAMM,EJM99526.1,9199.0,9450.0,True,8801.0,9214.0,False,15,0.9
Pantoea sp. GL120224-02,1378084,A0A285L3U8,A0A285L3U8_9GAMM,SNY79610.1,A0A285L7K9,A0A285L7K9_9GAMM,SNY79606.1,9526.0,9867.0,True,9218.0,9631.0,False,105,0.9
Pantoea sp. GM01,1144320,J3D3T7,J3D3T7_9GAMM,EJL84114.1,J2KVP3,J2KVP3_9GAMM,EJL84115.1,15923.0,16174.0,False,16159.0,16572.0,True,15,0.9
Pantoea sp. ICBG 1758,2071682,A0A2S5K623,A0A2S5K623_9GAMM,PPC61237.1,A0A2S5K5Y0,A0A2S5K5Y0_9GAMM,PPC61238.1,16017.0,16235.0,False,16253.0,16663.0,True,-18,0.9
Pantoea sp. PSNIH1,1484158,A0A0A0Z118,A0A0A0Z118_9GAMM,AIX49509.1,A0A0A0Z081,A0A0A0Z081_9GAMM,AIX49508.1,870322.0,870540.0,True,869894.0,870304.0,False,-18,0.9
Pantoea sp. PSNIH5,1758192,A0A2S4RLM4,A0A2S4RLM4_9GAMM,POU50544.1,A0A2S4RLS4,A0A2S4RLS4_9GAMM,POU50543.1,9634.0,9915.0,True,9249.0,9659.0,False,25,0.9
Pantoea sp. PSNIH6,2080494,A0A2P5IH54,A0A2P5IH54_9GAMM,POW51557.1,A0A2P5IH57,A0A2P5IH57_9GAMM,POW51556.1,9586.0,9792.0,True,9149.0,9559.0,False,-27,0.9
Pantoea deleyi,470932,A0A1X1DX57,A0A1X1DX57_9GAMM,ORM81268.1,A0A1X1DXG2,A0A1X1DXG2_9GAMM,ORM81269.1,17494.0,17703.0,False,17722.0,18132.0,True,-19,0.9
Pantoea cypripedii (Pectobacterium cypripedii) (Erwinia cypripedii),55209,A0A1X1EZA7,A0A1X1EZA7_PANCY,ORM95244.1,A0A1X1EZF9,A0A1X1EZF9_PANCY,ORM95243.1,4033005.0,4033205.0,True,4032558.0,4032968.0,False,-37,0.9
Pantoea conspicua,472705,A0A1X1BSR5,A0A1X1BSR5_9GAMM,ORM51303.1,A0A1X1BSV7,A0A1X1BSV7_9GAMM,ORM51302.1,9305.0,9568.0,True,8924.0,9334.0,False,29,0.9
Pantoea coffeiphila,1465635,A0A2S9I3R6,A0A2S9I3R6_9GAMM,PRD12411.1,A0A2S9I3P3,A0A2S9I3P3_9GAMM,PRD12410.1,9620.0,9979.0,True,9312.0,9725.0,False,105,0.9
Pantoea anthophila,470931,A0A0F5FCD6,A0A0F5FCD6_9GAMM,KKB06453.1,A0A0F5FE30,A0A0F5FE30_9GAMM,KKB06452.1,9574.0,9831.0,True,9189.0,9599.0,False,25,0.9
Pantoea ananatis (strain LMG 20103),706191,D4GCF0,D4GCF0_PANAM,ADD78761.1,D4GCE9,D4GCE9_PANAM,ADD78760.1,4001583.0,4001843.0,True,4001198.0,4001608.0,False,25,0.9
Pantoea ananatis (strain AJ13355),932677,A0A0H3L4R7,A0A0H3L4R7_PANAA,BAK12898.1,A0A0H3L0E8,A0A0H3L0E8_PANAA,BAK12897.1,3409369.0,3409629.0,True,3408984.0,3409394.0,False,25,0.9
Pantoea ananas (Erwinia uredovora),553,A0A2S7ZUX7,A0A2S7ZUX7_PANAN,PQL27068.1,A0A2S7ZUY2,A0A2S7ZUY2_PANAN,PQL27069.1,257127.0,257414.0,False,257361.0,257771.0,True,53,0.9
Pantoea allii,574096,A0A2V1YAI1,A0A2V1YAI1_9GAMM,PWJ73392.1,A0A2V1YKI4,A0A2V1YKI4_9GAMM,PWJ73391.1,9610.0,9843.0,True,9199.0,9609.0,False,-1,0.9
Pantoea alhagi,1891675,A0A1W6B345,A0A1W6B345_9GAMM,ARJ41521.1,A0A1W6B344,A0A1W6B344_9GAMM,ARJ41520.1,1175294.0,1175557.0,True,1174887.0,1175297.0,False,3,0.9
Obesumbacterium proteus ATCC 12841,1354268,A0A1B7KIY8,A0A1B7KIY8_9GAMM,OAT60111.1,A0A1B7KIZ0,A0A1B7KIZ0_9GAMM,OAT60110.1,9527.0,9706.0,True,9030.0,9437.0,False,-90,0.9
Morganella psychrotolerans,368603,A0A1B8HBR4,A0A1B8HBR4_9GAMM,OBU06518.1,A0A1B8HBP5,A0A1B8HBP5_9GAMM,OBU06519.1,15721.0,15921.0,False,15926.0,16333.0,True,-5,0.9
Morganella morganii subsp. morganii KT,1124991,M1SAM4,M1SAM4_MORMO,AGG29328.1,M1SQA9,M1SQA9_MORMO,AGG29327.1,320892.0,321092.0,True,320480.0,320887.0,False,-5,0.9
Morganella morganii (Proteus morganii),582,A0A0A2RF82,A0A0A2RF82_MORMO,KGP41863.1,A0A0A2R0B6,A0A0A2R0B6_MORMO,KGP41862.1,9076.0,9276.0,True,8664.0,9071.0,False,-5,0.9
Moellerella wisconsensis ATCC 35017,1354267,A0A0N0ZA38,A0A0N0ZA38_9GAMM,KPD04064.1,A0A0N0IBP1,A0A0N0IBP1_9GAMM,KPD04063.1,9226.0,9426.0,True,8810.0,9220.0,False,-6,0.9
Moellerella wisconsensis,158849,A0A0H2QLV8,A0A0H2QLV8_9GAMM,KLN98307.1,A0A0H2QHG5,A0A0H2QHG5_9GAMM,KLN98306.1,9296.0,9496.0,True,8880.0,9290.0,False,-6,0.9
Mangrovibacter sp. MFB070,1224318,A0A071LRU9,A0A071LRU9_9ENTR,KEA51202.1,A0A071M3K3,A0A071M3K3_9ENTR,KEA51201.1,9935.0,10180.0,True,9550.0,9963.0,False,28,0.9
Pantoea sp. VS1,2003658,A0A246NCS8,A0A246NCS8_9GAMM,OWS73892.1,A0A246NCN0,A0A246NCN0_9GAMM,OWS73893.1,16281.0,16499.0,False,16518.0,16928.0,True,-19,0.9
Pantoea sp. aB,517433,E0M4S0,E0M4S0_9GAMM,EFM17568.1,E0M4R9,E0M4R9_9GAMM,EFM17567.1,9294.0,9581.0,True,8937.0,9347.0,False,53,0.9
Lonsdalea britannica,1082704,A0A1X3RPA7,A0A1X3RPA7_9GAMM,OSN03597.1,A0A1X3RP80,A0A1X3RP80_9GAMM,OSN03598.1,15441.0,15710.0,False,15711.0,16118.0,True,-1,0.9
Proteus mirabilis,584,A0A1Z1SQ97,A0A1Z1SQ97_PROMI,ARX32759.1,A0A1Z1SP71,A0A1Z1SP71_PROMI,ARX32758.1,175383.0,175586.0,True,174972.0,175379.0,False,-4,0.9
Pedobacter himalayensis,246796,A0A1V3W7D7,A0A1V3W7D7_9SPHI,OOK62678.1,A0A1V3W6S3,A0A1V3W6S3_9SPHI,OOK62679.1,16380.0,16595.0,False,16596.0,17009.0,True,-1,0.9
Phytobacter ursingii,1972431,A0A0G3QJF6,A0A0G3QJF6_9GAMM,AKL14868.1,A0A0G3QGB8,A0A0G3QGB8_9GAMM,AKL14869.1,5152262.0,5152477.0,False,5152478.0,5152891.0,True,-1,0.9
Pluralibacter gergoviae (Enterobacter gergoviae),61647,A0A089PJ47,A0A089PJ47_PLUGE,KMK10525.1,A0A089QWM1,A0A089QWM1_PLUGE,KMK10526.1,16502.0,16717.0,False,16718.0,17131.0,True,-1,0.9
