Entry,genomic_dna_id
R6GWU8,CDB28920.1
A0A239AWQ3,SNR99762.1
A0A160JDS5,ANC90574.1
R9BA46,EOR11328.1
A0A1G7UBL9,SDG44150.1
J2T458,EJL72827.1
A0A2X3HN87,SQC72245.1
A0A221DW24,ASL89775.1
L7WC41,AGC76458.1
A5MAU5,EDK65105.1
A0A0F0KW79,KJL23501.1
H1RLU1,EHN66631.1
A0A0J1ICL9,KLV23691.1
A0A1Q5EBC7,OKJ05325.1
A0A2T7KWU0,PVC85987.1
A0A0P0Q7N0,ALL35450.1
A0A0P0CC99,ALI99340.1
A0A1F7A7L0,OGJ41399.1
A0A1S2IWM3,OII37280.1
K2ND35,EKF37230.1
A0A1M5HVD8,SHG19877.1
A0A0F0LDZ6,KJL31353.1
A0A167HE10,KZP61346.1
A0A1G5A680,SCX73391.1
V6MF43,EST57119.1
A0A2K9I2H9,AUI79135.1
A0A1Y4JED8,OUP30885.1
A0A2U3NUS8,SPM35242.1
A0A2S4HK45,POP54358.1
A0A2P8VFI6,PSN05868.1
A0A165NVV4,KZX50699.1
A0A228H4S2,OXI25146.1
S4AZT1,EPH64780.1
H1D4B1,EHO21765.1
A0A2N3BT23,PKP74603.1
A0A150HMW0,KXZ66649.1
H0TQY5,CCE08873.1
A0A1G0QXX1,OGU52704.1
A0A2N6A9Z0,PLX27697.1
A0A2A3CQF8,PBB90411.1
W9EL86,ETO40429.1
A0A0G1FSW0,KKT25118.1
A0A1H1SUG4,SDS51574.1
A0A1F6NG49,OGH82758.1
A0A0P7DF24,KPM75964.1
A0A2D3PK93,ATV67576.1
A0A0Q4IAM2,KQM99566.1
A0A0P9RKQ3,KPX12398.1
A0A2D3PTY6,ATV70274.1
S5Z3X6,AGT31682.1
J1A4I6,EJF96598.1
A0A1Y2QPU8,OSZ69973.1
B2UQG9,ACD04704.1
D0WJR5,EEZ79512.1
A0A1I6SLJ7,SFS77764.1
E8W2Q9,ADW04007.1
A0A0J5PAY3,KMK52860.1
A0A0Q6FZ17,KQT99868.1
A0A1G5CVD8,SCY06218.1
A0A1Y3S8X3,OUN20704.1
A0A2N8T3E1,PNG09267.1
A0A081MHM6,KEQ05699.1
A0A067LPR3,KDP92247.1
A0A0C2MZ90,KIL06140.1
A0A1Q9QGJ3,OLS45991.1
A0A2N8LDD3,PND48175.1
J8VD94,EJU08535.1
A0A0R1P1F5,KRL24260.1
A0A2N6A4X5,PLX25963.1
B3CFC2,EDV05158.1
E3CLD4,EFQ56737.1
K7RUZ5,AFV88778.1
A0A150HQ01,KXZ68287.1
A0A2K0XRL4,PNP97186.1
A0A1G8UL64,SDJ54513.1
A0A2N8LA55,PND47036.1
A0A0G3ESJ2,AKJ69895.1
A0A0Q7VWW7,KQZ25937.1
J9RBL5,AFR36767.1
T0HDA0,EQB10962.1
A0A0H5SFU0,CRZ33666.1
I8R6Q0,EIW14143.1
A0A2P7TB92,PSJ72026.1
A0A1A3QFF8,OBK45041.1
A0A167AP70,OAB71270.1
A0A1P8S2F9,APY13518.1
J8GZR9,EJR18446.1
A0A1M4Z428,SHF12715.1
A0A2G9EJU6,PIM80931.1
F2B9B0,EGF11994.1
A0A2P7TN15,PSJ76090.1
H1Q3Y4,EHO68582.1
A0A0M0WTR3,KOP77332.1
M1PE87,AGF78000.1
A0A285NBK7,SNZ06317.1
A0A1F8MSN6,OGO01639.1
A0A1B6Z6M2,OAO00418.1
A0A1Q3LML1,OJU46618.1
M2TPR2,EMD99270.1
A0A1N7LVP5,SIS77896.1
A0A2N9DTD0,SPC36828.1
A0A2D3LYH4,ATV35624.1
A0A2T7KN66,PVC82965.1
A0A2N5ZRE8,PLX21247.1
A0A090U5Y1,GAL46419.1
A0A243VG45,OUJ22696.1
D2ZWW6,EFC88442.1
A0A0Q6MGK3,KQU75256.1
A0A241WT03,OTG97500.1
A0A0J1LZX4,KLV68026.1
D3CX74,EFC84693.1
A0A073JTL0,KEK18399.1
A0A1I0X787,SFA96266.1
A0A127AZ68,AMM50492.1
A0A0U5ES80,CUI17056.1
A0A1W1VR32,SMB95807.1
